                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  2.026,                  1.727,                 1.1686,                0.82978,                0.88625,                 0.9186,                0.52997,                 1.5664,                 1.0827,                 1.0136,             0.00055245,             0.00055245,             0.00055245
                      2,                 1.3924,                0.82493,                0.95556,                0.86887,                0.94484,                0.94781,                0.59199,                 1.3967,                0.88642,                0.96059,              0.0010972,              0.0010972,              0.0010972
                      3,                 1.2664,                0.73467,                0.92477,                0.91598,                 0.9464,                0.96734,                0.65597,                 1.2458,                 0.8062,                0.93155,              0.0016308,              0.0016308,              0.0016308
                      4,                 1.1657,                0.67421,                0.90054,                0.94027,                0.94361,                0.98232,                0.68377,                 1.1338,                0.71821,                0.89577,              0.0016175,              0.0016175,              0.0016175
                      5,                 1.0835,                0.64048,                 0.8834,                0.96413,                0.94409,                0.98677,                0.75824,                0.95821,                 0.6315,                0.86148,              0.0016175,              0.0016175,              0.0016175
                      6,                0.98993,                0.57972,                0.86761,                0.97761,                0.95376,                0.99016,                 0.7857,                 0.8782,                0.58102,                0.84337,               0.001601,               0.001601,               0.001601
                      7,                0.96232,                0.56851,                0.86242,                0.98153,                0.97955,                0.99255,                0.79412,                0.86813,                0.53405,                0.84004,              0.0015845,              0.0015845,              0.0015845
                      8,                0.92699,                0.54133,                0.85635,                0.95609,                0.98553,                0.97943,                0.80038,                0.80712,                0.54288,                0.82731,               0.001568,               0.001568,               0.001568
                      9,                0.87796,                 0.5161,                0.84688,                0.96602,                0.98449,                0.98655,                0.81878,                0.79324,                0.53387,                0.82967,              0.0015515,              0.0015515,              0.0015515
                     10,                0.84086,                0.49541,                0.84166,                0.99029,                0.99126,                0.99382,                0.80325,                0.82697,                0.47808,                0.81981,               0.001535,               0.001535,               0.001535
                     11,                0.80183,                0.47013,                0.83388,                0.98983,                0.98469,                0.99342,                0.84677,                0.67306,                0.43965,                0.80267,              0.0015185,              0.0015185,              0.0015185
                     12,                0.78683,                0.46171,                0.83322,                0.99282,                0.99491,                0.99389,                0.84564,                0.68227,                0.42745,                0.80053,               0.001502,               0.001502,               0.001502
                     13,                0.76871,                0.45361,                0.83066,                0.99107,                0.98541,                0.99372,                0.85579,                0.66451,                0.42782,                0.79613,              0.0014855,              0.0014855,              0.0014855
                     14,                0.76634,                0.45249,                0.82952,                0.99421,                0.98327,                0.99345,                0.86439,                0.62308,                0.41441,                0.79183,               0.001469,               0.001469,               0.001469
                     15,                0.72643,                0.43335,                0.82386,                0.99458,                0.99443,                0.99413,                0.87157,                0.62863,                0.39793,                0.79639,              0.0014525,              0.0014525,              0.0014525
                     16,                0.71274,                0.42506,                0.82247,                0.99201,                 0.9836,                0.99383,                0.85022,                0.67977,                0.41861,                0.80889,               0.001436,               0.001436,               0.001436
                     17,                0.73074,                0.42242,                0.82406,                0.99482,                0.99472,                0.99419,                0.87544,                0.58903,                0.38388,                 0.7882,              0.0014195,              0.0014195,              0.0014195
                     18,                0.68869,                0.40468,                0.81693,                0.99672,                0.99458,                0.99412,                0.89144,                0.53758,                0.36551,                0.78054,              0.0014029,              0.0014029,              0.0014029
                     19,                0.67257,                0.40352,                0.81674,                0.99664,                0.99211,                 0.9941,                0.87838,                0.58387,                0.37689,                0.78734,              0.0013864,              0.0013864,              0.0013864
                     20,                0.67418,                 0.4001,                0.81566,                0.99394,                0.99247,                  0.994,                0.89221,                0.54573,                0.36112,                0.78187,              0.0013699,              0.0013699,              0.0013699
                     21,                0.66334,                0.39139,                0.81426,                0.99647,                0.99612,                0.99414,                0.88694,                0.56219,                0.36112,                0.78151,              0.0013534,              0.0013534,              0.0013534
                     22,                0.64572,                0.38336,                0.81172,                0.99616,                0.98639,                0.99396,                 0.8958,                0.52554,                0.36016,                 0.7779,              0.0013369,              0.0013369,              0.0013369
                     23,                0.63311,                0.37628,                0.81013,                0.99695,                0.99613,                0.99418,                0.90172,                0.50744,                 0.3435,                0.77523,              0.0013204,              0.0013204,              0.0013204
                     24,                0.61753,                0.36964,                0.80888,                0.99622,                0.99334,                0.99407,                0.89397,                0.52758,                0.35356,                0.77743,              0.0013039,              0.0013039,              0.0013039
                     25,                0.61933,                0.37022,                0.80959,                0.99621,                0.99617,                0.99412,                0.90048,                0.50775,                0.34262,                0.77397,              0.0012874,              0.0012874,              0.0012874
                     26,                0.61522,                0.36669,                0.80791,                0.99737,                0.99699,                0.99416,                0.90739,                0.47408,                0.32705,                0.77015,              0.0012709,              0.0012709,              0.0012709
                     27,                0.60525,                0.35877,                0.80665,                0.99652,                0.99267,                0.99393,                0.89111,                0.51216,                0.34363,                0.77418,              0.0012544,              0.0012544,              0.0012544
                     28,                0.59991,                0.35761,                0.80733,                0.99671,                 0.9974,                 0.9941,                0.89111,                0.55389,                0.34778,                0.77886,              0.0012379,              0.0012379,              0.0012379
                     29,                0.62042,                0.36703,                0.80882,                0.99649,                0.99548,                0.99398,                0.91047,                0.49185,                 0.3325,                0.77353,              0.0012214,              0.0012214,              0.0012214
                     30,                 0.5836,                0.35108,                0.80429,                 0.9973,                0.99249,                0.99418,                0.91274,                0.48264,                0.32965,                0.77256,              0.0012049,              0.0012049,              0.0012049
                     31,                0.57679,                0.34886,                0.80388,                0.99672,                0.99688,                0.99421,                0.91367,                0.46266,                0.31876,                0.76922,              0.0011884,              0.0011884,              0.0011884
                     32,                0.58182,                0.34951,                0.80388,                0.99653,                0.99768,                0.99418,                0.90752,                0.47344,                 0.3277,                0.77128,              0.0011719,              0.0011719,              0.0011719
                     33,                 0.5736,                0.34916,                0.80443,                0.99669,                0.99749,                0.99417,                0.91045,                0.46632,                0.32117,                0.76955,              0.0011554,              0.0011554,              0.0011554
                     34,                0.56124,                0.33917,                0.80172,                0.99673,                  0.997,                 0.9941,                0.91809,                0.44706,                0.31206,                0.76766,              0.0011389,              0.0011389,              0.0011389
                     35,                0.55595,                0.33919,                0.80153,                0.99684,                0.99769,                0.99412,                0.91471,                0.45456,                0.31084,                0.76805,              0.0011224,              0.0011224,              0.0011224
                     36,                0.54652,                0.33179,                0.80006,                0.99609,                0.99281,                 0.9939,                0.91365,                0.45522,                0.31672,                0.76768,              0.0011059,              0.0011059,              0.0011059
