                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.6966,                 2.1166,                 2.3903,                0.80168,                0.79618,                0.85166,                0.36962,                 2.0257,                 1.1134,                 1.4601,             0.00055465,             0.00055465,             0.00055465
                      2,                 1.7028,                0.91122,                 1.1855,                0.93735,                0.93564,                0.96053,                0.60707,                 1.3087,                0.73234,                 1.0584,              0.0010883,              0.0010883,              0.0010883
                      3,                 1.3793,                0.72793,                 1.0417,                0.94785,                0.96853,                0.97407,                0.68643,                 1.0844,                0.62438,                0.95927,                 0.0016,                 0.0016,                 0.0016
                      4,                 1.2164,                0.64298,                0.98379,                0.94757,                0.97868,                0.97227,                0.72289,                0.97741,                0.58365,                0.92778,               0.001568,               0.001568,               0.001568
                      5,                 1.1139,                0.58965,                0.95073,                0.95158,                0.98765,                0.97693,                0.75053,                0.89168,                0.52977,                0.90017,               0.001568,               0.001568,               0.001568
                      6,                 1.0221,                0.54985,                0.92616,                 0.9567,                0.99066,                0.98006,                0.78453,                0.82034,                 0.4979,                0.88361,               0.001535,               0.001535,               0.001535
                      7,                0.97209,                0.52838,                0.91206,                0.95239,                0.98631,                0.98227,                0.80175,                0.77385,                0.47996,                 0.8696,               0.001502,               0.001502,               0.001502
                      8,                 0.9169,                0.50528,                0.89945,                0.94148,                0.97858,                0.98365,                0.82048,                0.72318,                0.45761,                0.85669,               0.001469,               0.001469,               0.001469
                      9,                0.87598,                0.48443,                0.88989,                0.95899,                0.98747,                0.98586,                0.83575,                0.67803,                0.43393,                0.84696,               0.001436,               0.001436,               0.001436
                     10,                0.84253,                0.46812,                0.88139,                0.95939,                0.99209,                0.98794,                0.85171,                0.64515,                0.42119,                0.84129,              0.0014029,              0.0014029,              0.0014029
